,localizedRuleName,urlBlocks,ruleImpact
AvoidLandingPageRedirects,Avoid landing page redirects,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/AvoidRedirects'}], u'format': u'Your page has no redirects. Learn more about avoiding landing page redirects.'}}]",0.0
EnableGzipCompression,Enable compression,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/EnableCompression'}], u'format': u'You have compression enabled. Learn more about enabling compression.'}}]",0.0
LeverageBrowserCaching,Leverage browser caching,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/LeverageBrowserCaching'}], u'format': u'You have enabled browser caching. Learn more about browser caching recommendations.'}}]",0.0
MainResourceServerResponseTime,Reduce server response time,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/Server'}], u'format': u'Your server responded quickly. Learn more about server response time optimization.'}}]",0.0
MinifyCss,Minify CSS,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/MinifyResources'}], u'format': u'Your CSS is minified. Learn more about minifying CSS.'}}]",0.0
MinifyHTML,Minify HTML,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/MinifyResources'}], u'format': u'Your HTML is minified. Learn more about minifying HTML.'}}]",0.0
MinifyJavaScript,Minify JavaScript,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/MinifyResources'}], u'format': u'Your JavaScript content is minified. Learn more about minifying JavaScript.'}}]",0.0
MinimizeRenderBlockingResources,Eliminate render-blocking JavaScript and CSS in above-the-fold content,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/BlockingJS'}], u'format': u'You have no render-blocking resources. Learn more about removing render-blocking resources.'}}]",0.0
OptimizeImages,Optimize images,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/OptimizeImages'}], u'format': u'Your images are optimized. Learn more about optimizing images.'}}]",0.0
PrioritizeVisibleContent,Prioritize visible content,"[{u'header': {u'args': [{u'type': u'HYPERLINK', u'value': u'https://developers.google.com/speed/docs/insights/PrioritizeVisibleContent'}], u'format': u'You have the above-the-fold content properly prioritized. Learn more about prioritizing visible content.'}}]",0.0
