Date,Brand,Hostname,Country,Page Speed Score,Fully Loaded Time,DOM Content Loaded Time,Redirect Duration,DOM Interactive Time
2018-08-11,sensodyne,https://www.sensodyne.com.ph,ph,77,6580,1301,0,1301
2018-08-11,hagashimiru,https://www.hagashimiru.jp,jp,82,4219,1340,0,1339
2018-08-11,sensodyne,https://www.sensodyne.com.au,au,77,3499,1017,0,1017
2018-08-11,sensodyne,https://www.sensodyne.in,in,79,7020,1738,0,1738
2018-08-11,panadol,http://www.panadol.com.sg,sg,60,5028,1183,0,1183
2018-08-11,voltaren,https://www.voltaren.co.id,id,64,2897,512,0,512
2018-08-11,sensodyne,https://www.sensodyne.com.ph,ph,77,3933,1447,0,1447
2018-08-11,hagashimiru,https://www.hagashimiru.jp,jp,82,3528,1014,0,1014
2018-08-11,sensodyne,https://www.sensodyne.com.au,au,77,3585,903,0,903
2018-08-11,sensodyne,https://www.sensodyne.in,in,79,7116,1896,0,1896
2018-08-11,panadol,http://www.panadol.com.sg,sg,60,6867,1711,0,1704
2018-08-11,voltaren,https://www.voltaren.co.id,id,64,39135,465,0,465
2018-08-11,sensodyne,https://www.sensodyne.com.ph,ph,77,3103,1125,0,1125
2018-08-11,hagashimiru,https://www.hagashimiru.jp,jp,82,4601,1275,0,1275
2018-08-11,sensodyne,https://www.sensodyne.com.au,au,77,3447,904,0,903
